"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C12";"CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder";1;"100nF to 1µF*";;;
2;"U3";"TSSOP-8_4.4x3mm_P0.65mm_handsolder";1;"MCP47FEB21";;;
3;"Q1";"SOT-23_Handsoldering";1;"2N7002";;;
4;"threshold";"TestPoint_Loop_D2.50mm_Drill1.0mm";1;"Threshold";;;
5;"esp_pwr";"TestPoint_Loop_D2.50mm_Drill1.0mm";1;"esp_pwr";;;
6;"mic_amp";"TestPoint_Loop_D2.50mm_Drill1.0mm";1;"MIC_AMP";;;
7;"GND,GND";"TestPoint_Loop_D2.50mm_Drill1.0mm";2;"GND";;;
8;"+3V3";"TestPoint_Loop_D2.50mm_Drill1.0mm";1;"+3v3";;;
9;"+5V";"TestPoint_Loop_D2.50mm_Drill1.0mm";1;"+5v";;;
10;"prog";"G71Y_µsw_smd";1;"prog";;;
11;"clear";"G71Y_µsw_smd";1;"clear";;;
12;"IR1";"IRsensor_TH_and_smd";1;"IRsensor";;;
13;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AD8052";;;
14;"J1";"micro-usb-aliexpress";1;"USB_B_Micro";;;
15;"ESP8266";"ESP-12F-nospi";1;"ESP-12F-nospi";;;
16;"MH1,MH2";"MountingHole_3.2mm_M3_Pad";2;"3.2mm for M3 screw";;;
17;"C13,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100nF";;;
18;"C11,C10,C8,C5,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"100n";;;
19;"C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"120p";;;
20;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4n7";;;
21;"C14";"CP_Radial_D6.3mm_P2.50mm";1;"470µ 6.3v";;;
22;"C3";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"1µ tantale";;;
23;"C9";"CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder";1;"220µF 6.3v";;;
24;"MK1";"PinHeader_1x02_P2.54mm_Horizontal";1;"Microphone";;;
25;"C4";"PinHeader_1x02_P2.54mm_Vertical";1;"10µF (opt)";;;
26;"J4";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03";;;
27;"J2,J3";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05";;;
28;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Red";;;
29;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
30;"R12,R4,R5,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10K";;;
31;"R13,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"15K";;;
32;"R14,R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4K7";;;
33;"R16,R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470";;;
34;"L2,L1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"Ferrite 470R";;;
35;"R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"330";;;
36;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1M";;;
37;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2K";;;
38;"R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"68";;;
39;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100K";;;
40;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1K";;;
41;"REF**";"OSHW-Logo2_9.8x8mm_SilkScreen";1;"OSHW-Logo2_9.8x8mm_SilkScreen";;;
